# Day of week,Month,Reason_1,Reason_2,Reason_3,Reason_4,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
5.0,12.,0.0,0.0,0.0,1.0,1.0,10.,37.,261,28.,1.0,0.0,0.0,2.0
5.0,12.,0.0,0.0,1.0,0.0,1.0,25.,41.,261,23.,1.0,0.0,0.0,8.0
5.0,12.,0.0,0.0,0.0,1.0,1.0,26.,28.,261,24.,1.0,1.0,2.0,2.0
7.0,1.0,0.0,0.0,0.0,1.0,1.0,26.,28.,308,24.,1.0,1.0,2.0,1.0
5.0,1.0,0.0,0.0,1.0,0.0,1.0,10.,37.,308,28.,1.0,0.0,0.0,1.0
6.0,1.0,0.0,0.0,0.0,1.0,1.0,10.,37.,308,28.,1.0,0.0,0.0,1.0
6.0,1.0,0.0,0.0,1.0,0.0,1.0,12.,34.,308,25.,1.0,2.0,0.0,8.0
7.0,1.0,0.0,0.0,0.0,1.0,1.0,26.,28.,308,24.,1.0,1.0,2.0,2.0
1.0,1.0,0.0,0.0,0.0,1.0,1.0,42.,27.,308,21.,1.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,1.0,1.0,26.,28.,308,24.,1.0,1.0,2.0,2.0
2.0,1.0,0.0,0.0,0.0,1.0,1.0,26.,28.,308,24.,1.0,1.0,2.0,1.0
5.0,1.0,0.0,0.0,0.0,1.0,1.0,10.,37.,308,28.,1.0,0.0,0.0,2.0
6.0,1.0,0.0,0.0,0.0,1.0,1.0,26.,28.,308,24.,1.0,1.0,2.0,2.0
6.0,1.0,0.0,0.0,0.0,1.0,1.0,10.,37.,308,28.,1.0,0.0,0.0,2.0
7.0,1.0,0.0,0.0,0.0,1.0,1.0,10.,37.,308,28.,1.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,1.0,1.0,10.,37.,308,28.,1.0,0.0,0.0,2.0
2.0,1.0,0.0,0.0,0.0,1.0,1.0,10.,37.,308,28.,1.0,0.0,0.0,2.0
5.0,1.0,0.0,0.0,0.0,1.0,1.0,10.,37.,308,28.,1.0,0.0,0.0,2.0
6.0,1.0,0.0,0.0,0.0,1.0,1.0,10.,37.,308,28.,1.0,0.0,0.0,2.0
6.0,1.0,0.0,0.0,1.0,0.0,1.0,26.,30.,308,19.,3.0,0.0,0.0,8.0
6.0,1.0,0.0,0.0,1.0,0.0,1.0,36.,33.,308,30.,1.0,2.0,1.0,8.0
7.0,1.0,0.0,0.0,0.0,1.0,1.0,10.,37.,308,28.,1.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,1.0,1.0,42.,27.,308,21.,1.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,1.0,1.0,10.,37.,308,28.,1.0,0.0,0.0,2.0
5.0,1.0,0.0,0.0,0.0,1.0,1.0,10.,37.,308,28.,1.0,0.0,0.0,0.0
6.0,1.0,0.0,0.0,0.0,1.0,1.0,26.,28.,308,24.,1.0,1.0,2.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,1.0,36.,33.,308,30.,1.0,2.0,1.0,3.0
6.0,2.0,0.0,0.0,0.0,1.0,1.0,42.,27.,302,21.,1.0,0.0,0.0,1.0
4.0,2.0,1.0,0.0,0.0,0.0,1.0,25.,41.,302,23.,1.0,0.0,0.0,8.0
4.0,2.0,1.0,0.0,0.0,0.0,1.0,51.,38.,302,31.,1.0,0.0,0.0,8.0
5.0,2.0,0.0,0.0,0.0,1.0,1.0,12.,34.,302,25.,1.0,2.0,0.0,2.0
5.0,2.0,0.0,0.0,0.0,1.0,1.0,29.,33.,302,25.,1.0,2.0,2.0,8.0
6.0,2.0,0.0,0.0,0.0,1.0,1.0,50.,36.,302,23.,1.0,4.0,0.0,2.0
6.0,2.0,0.0,0.0,0.0,1.0,1.0,36.,33.,302,30.,1.0,2.0,1.0,8.0
2.0,2.0,1.0,0.0,0.0,0.0,1.0,15.,50.,302,24.,1.0,0.0,0.0,8.0
3.0,2.0,1.0,0.0,0.0,0.0,1.0,15.,50.,302,24.,1.0,0.0,0.0,8.0
2.0,2.0,0.0,0.0,0.0,1.0,1.0,26.,28.,302,24.,1.0,1.0,2.0,2.0
3.0,2.0,0.0,0.0,0.0,1.0,1.0,26.,28.,302,24.,1.0,1.0,2.0,2.0
3.0,2.0,0.0,0.0,0.0,1.0,1.0,26.,30.,302,19.,3.0,0.0,0.0,1.0
3.0,2.0,0.0,0.0,0.0,1.0,1.0,42.,27.,302,21.,1.0,0.0,0.0,8.0
5.0,2.0,0.0,0.0,0.0,1.0,1.0,26.,28.,302,24.,1.0,1.0,2.0,3.0
2.0,2.0,0.0,0.0,1.0,0.0,1.0,16.,28.,302,25.,2.0,0.0,0.0,8.0
3.0,2.0,0.0,0.0,0.0,1.0,1.0,16.,28.,302,25.,2.0,0.0,0.0,1.0
4.0,2.0,0.0,0.0,0.0,1.0,1.0,26.,28.,302,24.,1.0,1.0,2.0,1.0
5.0,2.0,0.0,0.0,1.0,0.0,1.0,29.,33.,302,25.,1.0,2.0,2.0,8.0
2.0,3.0,0.0,0.0,0.0,1.0,1.0,50.,32.,343,23.,1.0,0.0,0.0,2.0
2.0,3.0,0.0,0.0,1.0,0.0,1.0,50.,36.,343,23.,1.0,4.0,0.0,8.0
2.0,3.0,0.0,0.0,1.0,0.0,1.0,27.,29.,343,22.,1.0,0.0,0.0,3.0
2.0,3.0,0.0,1.0,0.0,0.0,1.0,22.,40.,343,22.,2.0,2.0,0.0,8.0
3.0,3.0,0.0,0.0,0.0,1.0,1.0,31.,40.,343,25.,1.0,1.0,1.0,8.0
3.0,3.0,1.0,0.0,0.0,0.0,1.0,50.,36.,343,23.,1.0,4.0,0.0,8.0
4.0,3.0,1.0,0.0,0.0,0.0,1.0,26.,30.,343,19.,3.0,0.0,0.0,8.0
5.0,3.0,1.0,0.0,0.0,0.0,1.0,25.,47.,343,32.,1.0,2.0,1.0,3.0
5.0,3.0,1.0,0.0,0.0,0.0,1.0,50.,36.,343,23.,1.0,4.0,0.0,40.
1.0,3.0,1.0,0.0,0.0,0.0,1.0,22.,40.,343,22.,2.0,2.0,0.0,40.
1.0,3.0,1.0,0.0,0.0,0.0,1.0,12.,34.,343,25.,1.0,2.0,0.0,16.
1.0,3.0,0.0,0.0,0.0,1.0,1.0,50.,36.,343,23.,1.0,4.0,0.0,16.
2.0,3.0,1.0,0.0,0.0,0.0,1.0,12.,34.,343,25.,1.0,2.0,0.0,8.0
4.0,3.0,1.0,0.0,0.0,0.0,1.0,36.,33.,343,30.,1.0,2.0,1.0,8.0
4.0,3.0,1.0,0.0,0.0,0.0,1.0,22.,40.,343,22.,2.0,2.0,0.0,8.0
5.0,3.0,0.0,0.0,0.0,1.0,1.0,50.,36.,343,23.,1.0,4.0,0.0,4.0
5.0,3.0,0.0,0.0,0.0,1.0,1.0,26.,28.,343,24.,1.0,1.0,2.0,1.0
1.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,39.,343,24.,1.0,2.0,0.0,8.0
2.0,3.0,1.0,0.0,0.0,0.0,1.0,51.,38.,343,31.,1.0,0.0,0.0,24.
3.0,3.0,0.0,0.0,0.0,1.0,1.0,26.,28.,343,24.,1.0,1.0,2.0,2.0
1.0,3.0,1.0,0.0,0.0,0.0,1.0,26.,28.,343,24.,1.0,1.0,2.0,8.0
1.0,3.0,1.0,0.0,0.0,0.0,1.0,26.,30.,343,19.,3.0,0.0,0.0,1.0
2.0,3.0,1.0,0.0,0.0,0.0,1.0,26.,28.,343,24.,1.0,1.0,2.0,8.0
3.0,3.0,1.0,0.0,0.0,0.0,1.0,26.,28.,343,24.,1.0,1.0,2.0,16.
3.0,3.0,1.0,0.0,0.0,0.0,1.0,51.,38.,343,31.,1.0,0.0,0.0,3.0
4.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,39.,343,24.,1.0,2.0,0.0,16.
5.0,3.0,0.0,0.0,0.0,1.0,1.0,26.,28.,343,24.,1.0,1.0,2.0,2.0
5.0,3.0,1.0,0.0,0.0,0.0,1.0,25.,47.,343,32.,1.0,2.0,1.0,3.0
1.0,3.0,0.0,0.0,0.0,1.0,1.0,26.,28.,343,24.,1.0,1.0,2.0,1.0
7.0,4.0,0.0,0.0,0.0,1.0,1.0,31.,40.,326,25.,1.0,1.0,1.0,1.0
7.0,4.0,0.0,0.0,0.0,1.0,1.0,26.,28.,326,24.,1.0,1.0,2.0,1.0
6.0,4.0,0.0,0.0,0.0,1.0,1.0,12.,34.,326,25.,1.0,2.0,0.0,1.0
7.0,4.0,1.0,0.0,0.0,0.0,1.0,25.,41.,326,23.,1.0,0.0,0.0,24.
1.0,4.0,0.0,0.0,0.0,1.0,1.0,12.,34.,326,25.,1.0,2.0,0.0,1.0
2.0,4.0,0.0,0.0,0.0,1.0,1.0,26.,28.,326,24.,1.0,1.0,2.0,2.0
2.0,4.0,0.0,0.0,0.0,1.0,1.0,50.,36.,326,23.,1.0,4.0,0.0,4.0
7.0,4.0,1.0,0.0,0.0,0.0,1.0,51.,38.,326,31.,1.0,0.0,0.0,24.
1.0,4.0,0.0,0.0,0.0,1.0,1.0,13.,50.,326,31.,1.0,1.0,0.0,1.0
2.0,4.0,0.0,0.0,0.0,1.0,1.0,31.,40.,326,25.,1.0,1.0,1.0,3.0
2.0,4.0,1.0,0.0,0.0,0.0,1.0,25.,41.,326,23.,1.0,0.0,0.0,8.0
2.0,4.0,0.0,0.0,0.0,1.0,1.0,31.,40.,326,25.,1.0,1.0,1.0,1.0
2.0,4.0,0.0,0.0,0.0,1.0,1.0,25.,47.,326,32.,1.0,2.0,1.0,8.0
2.0,4.0,0.0,0.0,1.0,0.0,1.0,50.,36.,326,23.,1.0,4.0,0.0,56.
6.0,4.0,0.0,0.0,1.0,0.0,1.0,36.,33.,326,30.,1.0,2.0,1.0,8.0
7.0,4.0,1.0,0.0,0.0,0.0,1.0,12.,34.,326,25.,1.0,2.0,0.0,24.
7.0,4.0,0.0,0.0,1.0,0.0,1.0,49.,36.,326,21.,1.0,2.0,4.0,8.0
1.0,4.0,1.0,0.0,0.0,0.0,1.0,36.,33.,326,30.,1.0,2.0,1.0,16.
2.0,4.0,1.0,0.0,0.0,0.0,1.0,11.,37.,326,29.,3.0,1.0,1.0,3.0
5.0,4.0,0.0,0.0,0.0,0.0,1.0,29.,48.,326,33.,1.0,1.0,5.0,0.0
5.0,5.0,1.0,0.0,0.0,0.0,1.0,36.,33.,378,30.,1.0,2.0,1.0,8.0
6.0,5.0,0.0,0.0,0.0,1.0,1.0,12.,34.,378,25.,1.0,2.0,0.0,2.0
3.0,5.0,0.0,0.0,0.0,1.0,1.0,12.,34.,378,25.,1.0,2.0,0.0,1.0
4.0,5.0,0.0,0.0,1.0,0.0,1.0,51.,38.,378,31.,1.0,0.0,0.0,8.0
4.0,5.0,0.0,0.0,1.0,0.0,1.0,26.,28.,378,24.,1.0,1.0,2.0,8.0
5.0,5.0,1.0,0.0,0.0,0.0,1.0,42.,27.,378,21.,1.0,0.0,0.0,4.0
3.0,5.0,0.0,0.0,0.0,1.0,1.0,12.,34.,378,25.,1.0,2.0,0.0,2.0
4.0,5.0,1.0,0.0,0.0,0.0,1.0,51.,38.,378,31.,1.0,0.0,0.0,1.0
5.0,5.0,1.0,0.0,0.0,0.0,1.0,36.,33.,378,30.,1.0,2.0,1.0,24.
5.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,39.,378,24.,1.0,2.0,0.0,0.0
5.0,5.0,0.0,0.0,0.0,0.0,1.0,16.,28.,378,25.,2.0,0.0,0.0,0.0
5.0,5.0,0.0,0.0,0.0,0.0,1.0,49.,36.,378,21.,1.0,2.0,4.0,0.0
5.0,5.0,0.0,0.0,0.0,0.0,1.0,15.,50.,378,24.,1.0,0.0,0.0,0.0
4.0,5.0,1.0,0.0,0.0,0.0,1.0,51.,38.,378,31.,1.0,0.0,0.0,1.0
5.0,5.0,1.0,0.0,0.0,0.0,1.0,13.,50.,378,31.,1.0,1.0,0.0,24.
7.0,5.0,0.0,0.0,0.0,1.0,1.0,52.,28.,378,27.,1.0,1.0,4.0,8.0
7.0,6.0,0.0,0.0,1.0,0.0,1.0,25.,41.,377,23.,1.0,0.0,0.0,8.0
7.0,6.0,0.0,0.0,0.0,1.0,1.0,52.,28.,377,27.,1.0,1.0,4.0,8.0
1.0,6.0,1.0,0.0,0.0,0.0,1.0,25.,41.,377,23.,1.0,0.0,0.0,24.
3.0,6.0,0.0,0.0,0.0,1.0,1.0,31.,40.,377,25.,1.0,1.0,1.0,4.0
4.0,6.0,1.0,0.0,0.0,0.0,1.0,25.,41.,377,23.,1.0,0.0,0.0,8.0
7.0,6.0,1.0,0.0,0.0,0.0,1.0,51.,38.,377,31.,1.0,0.0,0.0,8.0
7.0,6.0,0.0,0.0,0.0,1.0,1.0,12.,34.,377,25.,1.0,2.0,0.0,4.0
7.0,6.0,1.0,0.0,0.0,0.0,1.0,25.,41.,377,23.,1.0,0.0,0.0,8.0
2.0,6.0,1.0,0.0,0.0,0.0,1.0,13.,50.,377,31.,1.0,1.0,0.0,8.0
4.0,6.0,1.0,0.0,0.0,0.0,1.0,11.,37.,377,29.,3.0,1.0,1.0,16.
1.0,6.0,0.0,0.0,0.0,1.0,1.0,13.,50.,377,31.,1.0,1.0,0.0,1.0
2.0,6.0,1.0,0.0,0.0,0.0,1.0,13.,50.,377,31.,1.0,1.0,0.0,80.
3.0,6.0,0.0,0.0,0.0,1.0,1.0,49.,36.,377,21.,1.0,2.0,4.0,8.0
4.0,6.0,1.0,0.0,0.0,0.0,1.0,51.,38.,377,31.,1.0,0.0,0.0,2.0
7.0,6.0,0.0,0.0,0.0,1.0,1.0,48.,49.,377,36.,1.0,0.0,2.0,2.0
3.0,6.0,0.0,0.0,0.0,1.0,1.0,26.,28.,377,24.,1.0,1.0,2.0,2.0
6.0,7.0,0.0,0.0,1.0,0.0,1.0,12.,34.,275,25.,1.0,2.0,0.0,16.
7.0,7.0,1.0,0.0,0.0,0.0,1.0,13.,50.,275,31.,1.0,1.0,0.0,8.0
2.0,7.0,1.0,0.0,0.0,0.0,1.0,10.,37.,275,28.,1.0,0.0,0.0,8.0
2.0,7.0,0.0,0.0,0.0,1.0,1.0,10.,37.,275,28.,1.0,0.0,0.0,4.0
6.0,7.0,0.0,0.0,0.0,1.0,1.0,16.,28.,275,25.,2.0,0.0,0.0,8.0
1.0,7.0,0.0,0.0,1.0,0.0,1.0,26.,30.,275,19.,3.0,0.0,0.0,8.0
2.0,7.0,0.0,0.0,0.0,1.0,1.0,12.,34.,275,25.,1.0,2.0,0.0,2.0
5.0,7.0,1.0,0.0,0.0,0.0,1.0,16.,28.,275,25.,2.0,0.0,0.0,8.0
6.0,7.0,1.0,0.0,0.0,0.0,1.0,16.,28.,275,25.,2.0,0.0,0.0,8.0
5.0,7.0,0.0,0.0,0.0,1.0,1.0,27.,29.,275,22.,1.0,0.0,0.0,3.0
6.0,7.0,0.0,0.0,0.0,1.0,1.0,52.,28.,275,27.,1.0,1.0,4.0,8.0
7.0,7.0,0.0,0.0,0.0,1.0,1.0,36.,33.,275,30.,1.0,2.0,1.0,8.0
1.0,7.0,0.0,0.0,0.0,1.0,1.0,51.,38.,275,31.,1.0,0.0,0.0,8.0
5.0,7.0,0.0,0.0,1.0,0.0,1.0,36.,33.,275,30.,1.0,2.0,1.0,32.
1.0,7.0,0.0,0.0,1.0,0.0,1.0,36.,33.,275,30.,1.0,2.0,1.0,8.0
1.0,7.0,0.0,0.0,0.0,0.0,1.0,50.,36.,275,23.,1.0,4.0,0.0,0.0
