10k,name,division,25k,gender,age,official,bib,genderdiv,ctz,35k,overall,pace,state,30k,5k,half,20k,country,city,40k
32.57,"Oljira, Belaynesh",11,82.43,F,23,144.35,F16,11,,117.58,48,5.52,,99.53,16.20,69.47,65.83,ETH,Wellega,135.80
30.52,"Kimurer, Joel",6,76.97,M,26,131.05,16,6,,108.02,6,5.00,,92.52,15.18,64.87,61.63,KEN,Iten,123.83
18.30,"Puigbo Verdaguer, Roger Sr.",24,52.90,M,36,98.42,W16,24,,81.77,26,3.77,,67.12,8.68,43.17,40.73,ESP,Sant Julia De Vilatorta,92.87
32.57,"Flanagan, Shalane",7,82.43,F,32,142.03,F17,7,,116.63,37,5.43,OR,99.33,16.20,69.45,65.82,USA,Portland,134.00
30.52,"April, Lusapho",15,76.95,M,31,134.98,17,15,,108.32,15,5.15,,92.52,15.18,64.88,61.63,RSA,Uitenhage,126.32
19.37,"Gordian, Aaron",17,54.20,M,49,95.28,W17,17,MEX,79.60,18,3.65,AZ,66.62,8.93,44.82,42.47,USA,Phoenix,90.07
30.52,"Abdirahman, Abdi",16,77.58,M,35,136.10,18,16,,110.90,16,5.20,AZ,93.82,15.17,65.28,61.83,USA,Tucson,128.17
20.68,"Ray, Bradley F.",30,58.28,M,45,104.15,W18,30,,87.73,36,3.98,CO,72.95,9.40,48.35,45.88,USA,Loveland,98.48
30.48,"Keflezighi, Meb",1,76.00,M,38,128.62,19,1,,106.62,1,4.92,CA,91.17,15.15,64.35,61.08,USA,San Diego,121.82
17.67,"Senbeta, James",9,48.55,M,27,85.38,W19,9,,71.18,9,3.27,IL,59.77,8.38,40.45,38.33,USA,Champaign,80.62
30.75,"Gotcher, Brett",18,78.07,M,29,137.27,20,18,,111.55,18,5.25,CA,94.50,15.25,65.75,62.28,USA,La Selva Beach,129.13
33.93,"Marchant, Lanni",14,86.30,F,30,150.57,F20,14,,123.47,105,5.75,ON,104.53,16.92,72.60,68.77,CAN,London,142.37
18.77,"Bleakney, Adam",16,52.07,M,38,92.87,W20,16,,77.78,16,3.55,IL,64.87,8.92,43.00,40.83,USA,Champaign,87.70
34.07,"Burla, Serena",18,87.13,F,31,152.45,F21,18,,124.97,128,5.82,VA,105.87,16.93,73.18,69.30,USA,Stafford,143.97
30.52,"Hartmann, Jason",38,79.62,M,33,145.68,21,42,,118.05,53,5.57,CO,98.68,15.18,65.88,62.22,USA,Boulder,137.22
35.20,"Higuchi, Noriko",21,88.73,F,28,153.65,F22,21,,126.48,145,5.87,,107.23,17.50,74.73,70.80,JPN,Kyoto,145.47
30.52,"Arciniaga, Nicholas",7,77.12,M,30,131.78,22,7,,109.13,7,5.03,AZ,93.05,15.18,65.07,61.77,USA,Flagstaff,124.85
20.17,"Park, Peter",25,56.28,M,36,99.00,W22,25,,83.10,28,3.78,IL,69.53,9.25,46.70,44.32,USA,Champaign,93.65
34.35,"Nelson, Adriana",15,88.18,F,34,151.25,F23,15,,125.28,110,5.78,CO,106.70,16.98,74.13,70.18,USA,Fort Collins,143.07
30.82,"Shafar, Vitaliy",4,76.85,M,32,129.62,23,4,,108.00,4,4.95,,92.50,15.40,64.93,61.62,UKR,Lutsk,122.97
19.37,"Kozarek, Robert",23,54.32,M,25,98.13,W23,23,,83.25,25,3.75,IL,68.53,9.12,45.27,43.02,USA,Champaign,93.03
35.22,"Aparecida da Silva, Adriana",16,88.65,F,32,151.30,F24,16,,125.43,111,5.78,,106.88,17.50,74.73,70.82,BRA,Sao Paulo,143.40
20.22,"Siemann, Brian",19,55.67,M,24,96.53,W24,19,,80.95,20,3.68,IL,68.17,9.40,46.23,43.78,USA,Savoy,91.63
30.53,"Eggleston, Jeffrey",8,77.07,M,29,131.95,24,8,,108.80,8,5.03,CO,92.82,15.20,65.08,61.75,USA,Boulder,124.80
32.57,"Melkamu, Meselech",5,82.45,F,29,141.47,F25,5,,116.37,33,5.40,,99.35,16.22,69.47,65.83,ETH,Addis Ababa,133.20
18.17,"Wahoram, Prawat",18,49.15,M,33,95.50,W25,18,,72.18,19,3.65,,60.17,8.68,41.20,39.05,THA,Bangkok,81.83
30.83,"Sakai, Koichi",14,78.02,M,28,134.93,26,14,,111.12,14,5.15,,94.33,15.42,65.70,62.30,JPN,Chiba,127.67
18.77,"Tana, Rawat",10,49.75,M,36,86.90,W26,10,,72.62,10,3.32,,61.17,8.98,41.52,39.37,THA,Bangkok,82.18
21.47,"Pulido, Jose Sr.",28,58.30,M,33,104.08,W27,28,MEX,87.73,34,3.98,GA,72.97,10.08,48.77,46.33,USA,Clarkesville,98.48
36.47,"Portis, Laura A.",25,91.98,F,27,158.80,F28,27,,131.77,291,6.07,MI,111.85,18.18,77.32,73.28,USA,Kalamazoo,150.63
20.22,"Qi, Ji Dong",22,55.68,M,19,96.60,W28,22,,80.95,23,3.70,,68.17,9.33,46.23,43.80,CHN,Liao Ning,91.65
30.48,"Boit, Josphat",11,76.10,M,30,132.87,28,11,,108.13,11,5.08,CA,91.97,15.17,64.35,61.08,USA,Mammoth Lakes,124.72
36.47,"Erb, Esther",20,91.18,F,28,153.25,F29,20,,127.55,140,5.85,NJ,109.17,18.18,77.32,73.28,USA,Lambertville,145.32
30.53,"Leon, Craig",12,77.58,M,29,134.47,29,12,,110.30,12,5.13,OR,93.83,15.20,65.35,61.87,USA,Eugene,126.77
21.13,"Li, Lai Zu",26,57.87,M,26,100.62,W29,26,,84.08,30,3.85,,70.95,9.97,48.65,46.15,CHN,Liao ning,95.12
19.73,"Cao, De Cheng",20,54.18,M,21,96.53,W30,20,,80.83,21,3.68,,67.45,9.25,44.72,42.32,CHN,Liao Ning,91.65
35.20,"Thomas, Wendy",19,88.57,F,35,152.82,F30,19,,125.68,132,5.83,CO,106.88,17.48,74.67,70.80,USA,Windsor,144.35
31.37,"Morgan, Mike G.",13,78.98,M,34,134.67,31,13,,111.45,13,5.15,MI,95.25,15.58,66.55,63.07,USA,Rochester Hills,127.50
36.47,"Jesseman, Erica",26,92.05,F,25,162.53,F31,29,,133.45,443,6.20,ME,112.32,18.20,77.32,73.30,USA,Scarborough,153.83
21.60,"Sanz, Santiago",1,60.13,M,33,106.20,W32,31,,88.60,38,4.07,,74.35,10.17,49.93,47.28,ESP,Albatera,100.28
32.15,"Curley, Craig",70,84.08,M,25,149.43,32,76,,121.12,88,5.70,AZ,102.43,15.70,70.28,66.47,USA,Tucson,139.62
36.48,"Dionne, Hilary K.",23,91.50,F,28,155.13,F32,23,,128.48,184,5.92,MA,109.83,18.20,77.32,73.30,USA,Charlestown,146.70
25.15,"McCallister, Kacey Z.",29,61.87,M,27,104.13,W33,29,,88.17,35,3.98,OR,74.83,9.72,52.23,49.77,USA,Monmouth,98.58
32.42,"Jensen, Bryant",30,81.68,M,30,142.68,33,32,,116.75,39,5.45,UT,98.80,16.10,68.80,65.23,USA,Ogden,134.43
36.48,"Cummings, Sarah",22,91.52,F,25,154.95,F33,22,,128.48,176,5.92,NY,109.83,18.20,77.32,73.30,USA,New York,146.80
21.27,"Vick, Wes B.",27,59.32,M,33,104.02,W34,27,,88.17,33,3.98,ON,73.72,9.77,49.27,46.72,CAN,Toronto,98.65
31.22,"Macpherson, Scott",19,77.58,M,27,137.77,34,19,,111.50,19,5.27,MO,93.87,15.58,65.62,62.28,USA,Columbia,129.55
37.37,"Green, Amber",28,95.37,F,33,163.45,F34,32,,135.28,491,6.25,UT,115.17,18.57,80.22,76.00,USA,Saint George,154.85
25.28,"Hulin, Ben R.",36,73.00,M,32,134.73,W35,38,,114.77,47,5.15,UT,93.67,11.73,59.95,57.05,USA,Park City,127.60
31.15,"Njeri, Daniel N.",248,83.62,M,34,159.35,35,286,,122.53,313,6.08,,102.45,15.20,69.55,65.67,KEN,Eldoret,150.73
32.98,"Dewald, Matt",35,84.78,M,31,144.58,36,38,,120.53,49,5.52,CO,102.48,16.23,71.37,67.55,USA,Denver,137.38
21.07,"Dodson, Travis",21,56.47,M,28,96.57,W36,21,,81.37,22,3.68,IL,68.65,10.15,47.13,44.77,USA,Champaign,91.68
37.53,"Philbrook, Lauren",30,93.98,F,26,164.93,F36,34,,135.00,590,6.30,MA,114.07,18.72,79.23,75.17,USA,Hopkinton,155.83
22.63,"Fowler, Jason M.",32,61.68,M,40,109.20,W37,34,,91.98,41,4.17,MA,76.95,10.52,51.38,48.73,USA,Boston,103.43
37.38,"Smith, Caitlin",39,94.62,F,33,168.38,F38,45,,136.20,812,6.43,CA,114.90,18.48,79.50,75.28,USA,Oakland,158.12
36.98,"Pelletier, Matt",2944,96.38,M,34,199.72,39,5490,,150.77,6391,7.63,RI,118.87,18.17,80.08,75.77,USA,West Greenwich,187.57
36.47,"Walkonen, Andrea R.",24,91.72,F,27,157.10,F39,25,,129.97,229,6.00,NH,110.68,18.20,77.32,73.32,USA,Lebanon,148.95
36.88,"Wetsch, Bria A.",27,93.75,F,25,162.55,F40,30,,133.62,444,6.20,CA,113.57,18.37,78.92,74.78,USA,Mammoth Lakes,153.48
32.13,"Ishiguro, Daisuke",86,79.92,M,21,150.72,40,92,,114.62,106,5.75,,96.80,15.68,67.37,63.93,JPN,Tokyo,138.67
22.65,"Martin, Raymond",2,61.75,M,20,108.48,W41,32,,90.78,39,4.15,IL,75.83,10.67,51.57,48.82,USA,Champaign,102.50
37.38,"Drobeck, Trisha",34,95.07,F,33,166.47,F41,38,,136.60,677,6.35,MT,115.47,18.50,79.78,75.62,USA,Missoula,157.15
24.20,"Davis, Matt",33,65.87,M,47,117.40,W42,35,,99.13,43,4.48,KY,82.00,11.55,54.88,52.12,USA,Bowling Green,110.97
37.38,"Mareb, Emily A.",54,97.45,F,29,172.40,F42,62,,141.15,1180,6.58,NY,119.02,18.50,81.55,77.05,USA,New York,162.93
32.53,"Ornelas, Zachary A.",126,83.83,M,22,154.28,42,137,,123.30,158,5.90,MI,102.23,16.22,70.05,66.22,USA,Ann Arbor,144.42
21.55,"Doak, Patrick A.",31,60.82,M,46,109.00,W43,33,,91.53,40,4.17,MA,75.83,9.93,50.43,47.82,USA,Carlisle,103.03
37.80,"Stamps Mallon, Julia C.",88,100.83,F,35,177.88,F43,105,,145.53,1930,6.80,CA,122.72,18.50,84.18,79.53,USA,Santa Rosa,167.85
33.35,"Burdick, Jared",113,84.22,M,27,153.43,43,122,,123.65,142,5.87,NY,102.95,16.72,70.83,67.15,USA,Manlius,144.12
24.20,"Kent, Geoffrey",34,67.10,M,34,120.58,W44,36,,101.53,44,4.60,IL,83.87,11.27,55.53,52.75,USA,Chicago,113.87
37.38,"Hirose, Mitsuko",36,97.45,F,39,167.50,F44,40,,138.95,741,6.40,,118.02,18.50,80.05,75.90,JPN,Tokyo,158.92
37.35,"Conway, Jodie L.",38,96.73,F,37,168.28,F45,44,,138.72,808,6.43,MA,117.58,18.57,80.75,76.40,USA,Framingham,159.77
30.82,"Jami, Segundo O. Sr.",24,78.88,M,27,140.87,45,26,ECU,114.42,30,5.38,CO,95.97,15.23,66.28,62.78,USA,Boulder,132.67
30.33,"Holcomb, Chris",3,86.33,M,43,183.62,W46,41,,142.42,52,7.02,FL,111.12,13.93,71.23,67.98,USA,Lake Worth,172.25
32.85,"Dworak, Brandon T.",59,84.90,M,26,148.53,46,64,,122.08,76,5.67,TN,103.17,16.25,70.85,67.15,USA,Memphis,140.55
25.62,"Scott, Glen E.",35,72.67,M,53,131.38,W48,37,,109.65,45,5.02,AB,90.63,12.10,59.78,56.67,CAN,Calgary,123.58
38.33,"Steinbacher, Dani",47,98.72,F,28,170.62,F48,53,,140.78,1004,6.52,MI,119.65,19.18,82.83,78.47,USA,Ann Arbor,161.62
31.87,"Fujimatsu, Toshiyuki",119,83.45,M,26,154.03,48,129,,123.35,150,5.88,,101.88,15.58,69.50,65.82,JPN,Tokyo,144.87
29.60,"Malik, Ronald W.",37,87.28,M,59,163.20,W49,39,,137.20,49,6.23,IL,111.58,13.32,71.37,67.87,USA,Tremont,153.87
32.70,"Hensley, Matt",22,82.35,M,26,139.85,49,23,,115.92,24,5.35,CO,99.20,16.23,69.33,65.73,USA,Boulder,132.40
32.62,"Martin, Andre T. Jr.",38,94.63,M,18,169.20,W50,40,,142.38,51,6.47,NH,117.78,15.32,78.43,74.25,USA,Manchester,159.25
32.53,"Sanca, Ruben",21,81.02,M,27,139.08,50,21,CPV,114.48,22,5.32,MA,97.65,16.23,68.42,64.95,USA,Lowell,131.40
34.50,"Ahearn, Christopher",39,101.08,M,52,191.33,W51,42,,161.52,53,7.30,MA,130.02,16.20,83.05,78.82,USA,Framingham,180.40
32.12,"Troop, Lee",982,82.23,M,41,197.08,75,5000,AUS,143.88,5710,7.53,CO,109.23,15.68,68.73,65.15,USA,Boulder,183.08
32.77,"Shabunin, Viacheslav V.",2,82.72,M,44,140.72,76,25,,116.47,29,5.37,,99.60,16.38,69.77,66.08,RUS,Moscow,133.38
32.63,"Steidl, Ulrich",1,82.20,M,42,139.80,77,22,,116.10,23,5.33,WA,99.15,16.25,69.18,65.52,USA,Seattle,132.47
32.63,"Lokken, Tracy",1,83.90,M,48,144.65,79,40,,119.20,51,5.53,MI,101.33,16.23,70.32,66.53,USA,Marquette,136.83
33.78,"Forsyth, Ian",255,88.07,M,42,177.48,81,1753,CAN,132.62,1853,6.78,MI,109.23,16.75,73.08,69.00,USA,Ann Arbor,167.30
33.00,"Ryf, Jason",14,84.80,M,43,155.67,82,178,,122.58,201,5.95,WI,103.27,16.40,71.08,67.30,USA,Oshkosh,146.07
33.15,"Achmuller, Hermann",5,84.88,M,43,148.98,83,69,,121.63,81,5.68,,103.05,16.45,71.15,67.32,ITA,Brixen,140.48
33.43,"Hartshorn, Chris M.",9,86.80,M,42,155.23,84,164,NZL,126.17,187,5.93,MA,106.13,16.40,72.47,68.55,USA,Concord,146.00
32.37,"Tenorio, Franklin B. Sr.",4,83.92,M,44,147.00,85,53,ECU,120.43,64,5.62,CO,102.08,15.77,70.20,66.45,USA,Boulder,138.65
32.53,"Wardian, Michael R.",3,82.18,M,40,143.53,86,35,,117.13,44,5.48,VA,99.43,16.22,69.18,65.50,USA,Arlington,135.07
34.08,"Kuhlmann, Patrick M.",6,86.67,M,43,151.52,87,97,,123.73,113,5.78,DC,104.87,16.88,72.87,68.98,USA,Washington,143.08
32.98,"Duca, Francesco",7,84.05,M,40,153.07,88,120,,121.95,139,5.85,,101.82,16.35,70.78,67.10,ITA,Cordignano (tv),143.22
20.65,"McFadden, Tatyana",1,54.18,F,25,95.10,W101,1,,79.15,17,3.63,IL,66.48,10.12,45.43,43.12,USA,Champaign,89.87
36.48,"Simon, Lidia",1,92.30,F,40,156.78,F102,24,ROU,130.75,222,5.98,CO,111.57,18.20,77.57,73.50,USA,Boulder,148.90
33.28,"End, Nicholas B.",29,83.90,M,29,142.37,102,31,,117.88,38,5.43,PA,100.90,16.60,70.73,67.07,USA,Pittsburgh,134.72
20.65,"McGrory, Amanda M.",8,58.75,F,27,110.87,W103,8,,91.70,42,4.23,IL,75.28,10.12,48.03,45.25,USA,Savoy,104.28
37.38,"Boulet, Magdalena",3,93.73,F,40,161.60,F103,28,,133.62,401,6.17,CA,113.55,18.48,79.23,75.17,USA,Oakland,153.22
32.42,"Schulze, Marc",73,83.38,M,29,149.68,103,79,,122.33,91,5.72,,102.33,16.05,69.65,65.93,GER,Dresden,141.72
21.07,"Reilly, Shirley S.",7,58.43,F,28,104.57,W104,7,,87.80,37,4.00,AZ,72.98,10.12,48.68,46.13,USA,Tucson,98.73
37.05,"Olaru, Nuta",2,93.42,F,43,157.48,F104,26,,131.08,243,6.02,CO,112.30,18.45,78.92,74.73,USA,Longmont,149.17
33.95,"Varner, Alexander",98,85.78,M,28,152.08,104,105,,124.27,122,5.82,CA,104.95,16.95,72.05,68.30,USA,San Rafael,143.40
19.75,"Tsuchida, Wakako",2,54.88,F,39,97.40,W105,2,,81.58,24,3.72,,68.18,9.25,45.42,43.15,JPN,Tama City Tokyo,92.07
37.05,"Piers, Sheri",4,93.98,F,42,162.67,F105,31,,134.38,455,6.22,ME,114.02,18.43,78.95,74.77,USA,Falmouth,154.00
33.30,"Joslyn, C Fred",66,83.92,M,30,149.20,105,72,,120.78,84,5.70,NY,101.68,16.65,70.78,67.08,USA,East Syracuse,140.78
20.65,"Woods, Shelly",5,55.73,F,27,101.70,W106,5,,84.12,31,3.88,,69.42,10.10,46.35,43.93,GBR,Lytham - St Annes,95.80
38.88,"Barry, Kristin P.",6,98.82,F,40,171.38,F106,56,,141.30,1079,6.55,ME,119.65,19.38,83.15,78.78,USA,Scarborough,162.03
33.93,"Freeman, Crosby",54,84.68,M,30,147.63,106,59,,119.77,70,5.63,CA,101.83,16.77,71.57,67.87,USA,San Francisco,138.60
20.55,"Schar, Manuela",4,55.40,F,29,99.65,W107,4,,83.37,29,3.82,,69.10,9.72,46.07,43.67,SUI,Kriens,94.22
34.15,"Folk, Matthew",85,85.90,M,38,150.55,107,91,,122.73,104,5.75,OH,104.02,17.07,72.25,68.47,USA,Perrysburg,141.78
20.65,"Scaroni, Susannah",3,55.75,F,22,98.55,W108,3,,82.17,27,3.77,IL,68.93,10.12,46.33,43.95,USA,Urbana,93.08
38.33,"Gomez, Robert",292,95.90,M,30,160.60,108,334,,134.83,361,6.13,ME,115.72,19.25,80.95,76.73,USA,Portland,152.77
20.65,"Roy, Diane",6,57.47,F,43,103.67,W109,6,,86.57,32,3.97,QC,71.78,9.65,47.32,44.87,CAN,Sherbrooke,97.73
32.78,"Flaherty, Matt",26,82.43,M,28,141.33,109,28,,116.82,32,5.40,IN,99.52,16.52,69.50,65.92,USA,Bloomington,133.70
39.70,"Wiltse, Paula",3,101.90,F,46,173.43,F110,70,,144.00,1283,6.62,ON,122.73,19.53,85.90,81.42,CAN,Brockville,164.38
25.28,"Moore, Jill",9,71.67,F,21,133.97,W111,9,,112.40,46,5.12,IL,91.37,12.12,59.10,56.10,USA,Champaign,126.67
39.03,"Glasson, Rachel",5,98.45,F,44,167.95,F111,42,,139.07,783,6.42,,118.63,19.52,82.93,78.58,AUS,Lake Albert,159.07
26.98,"Rausin, Arielle",10,76.10,F,20,137.05,W112,10,,116.23,48,5.23,IL,95.62,12.90,62.65,59.62,USA,Urbana,129.67
37.82,"Bentley, Lisa",1,96.92,F,45,167.78,F112,41,CAN,138.27,759,6.40,FL,117.17,18.50,81.62,77.30,USA,Clermont,159.02
33.68,"Havel, Kevin",25,83.90,M,24,140.92,112,27,,117.42,31,5.38,IL,100.92,16.68,70.88,67.33,USA,Arlington Heights,133.38
32.45,"Kapinowski, Jacqui",11,91.25,F,51,166.68,W113,11,,141.18,50,6.37,FL,116.17,15.28,75.48,71.68,USA,Tequesta,157.18
39.70,"Robson, Denise",2,101.90,F,45,173.27,F114,69,,143.72,1264,6.62,NS,122.73,19.55,85.90,81.42,CAN,Dartmouth,164.10
32.92,"Finnel, Brian",42,84.17,M,26,146.45,114,46,,119.87,57,5.60,WI,101.88,16.32,70.77,67.07,USA,Madison,138.08
32.62,"Andrews, Tyler C.",27,81.57,M,23,141.55,115,29,,116.28,35,5.40,MA,98.72,16.17,68.77,65.22,USA,Concord,133.72
40.42,"Starosciak, Kaye A.",7,101.65,F,40,172.62,F116,65,,143.22,1198,6.60,GA,122.35,20.00,85.73,81.25,USA,Canton,163.75
33.93,"Taylor, Alex J.",31,84.95,M,34,143.35,116,33,,119.40,41,5.48,MA,102.10,16.92,71.73,68.02,USA,Jamaica Plain,136.13
41.17,"Shoemaker, Perry R.",31,107.72,F,42,188.57,F117,306,,154.93,3847,7.20,VA,131.05,20.22,90.10,85.25,USA,Vienna,178.07
34.18,"Molz, Jonathan",803,90.58,M,27,171.28,117,1017,,135.60,1072,6.53,VA,111.88,16.93,75.35,71.35,USA,Richmond,159.90
40.17,"Kennedy, Christine B.",2,102.68,F,59,177.73,F118,103,,146.17,1904,6.78,CA,124.22,19.65,86.37,81.80,USA,Los Gatos,167.63
34.67,"Smogoleski, Charles A.",1240,92.23,M,28,176.82,119,1646,,139.52,1742,6.75,GA,114.83,17.02,76.18,72.00,USA,Rome,166.08
34.05,"Duncan, Sean D.",49,85.28,M,24,147.03,120,54,,120.92,65,5.62,MA,102.78,17.05,71.77,68.05,USA,Arlington,139.00
33.83,"Benadum, Blue",33,84.57,M,34,143.72,121,36,,119.03,45,5.48,CA,101.70,16.88,71.43,67.75,USA,Los Angeles,136.15
34.15,"McCalmon, Ryan D.",173,87.08,M,38,156.42,123,194,,127.27,217,5.97,MA,106.82,17.12,72.40,68.55,USA,Belmont,147.60
34.17,"Nurse, Ian",37,85.50,M,36,145.62,124,41,,120.45,52,5.57,MA,102.80,17.12,72.20,68.40,USA,Boston,137.95
41.63,"Maisey, Douglas",2723,106.18,M,26,195.27,125,4727,,164.98,5343,7.45,PA,145.32,20.83,88.72,84.02,USA,Philadelphia,187.03
34.12,"Peck, Graham",44,85.50,M,24,146.60,126,48,,121.05,59,5.60,MD,103.13,17.00,72.15,68.42,USA,Baltimore,138.88
35.52,"Johnson, Kevin C.",40,88.00,M,25,146.23,127,44,,121.72,55,5.58,NH,104.88,17.62,74.58,70.83,USA,Lebanon,138.47
34.15,"Kruger, Matthew",99,86.67,M,25,152.13,128,106,,124.02,123,5.82,MO,105.00,17.08,72.88,69.03,USA,St. Louis,143.48
36.32,"Ries, Tommy A. Jr.",888,97.65,M,26,172.58,129,1130,,141.77,1194,6.58,IA,119.58,17.50,81.22,76.75,USA,Iowa City,163.20
34.15,"Gilmore, Peter",405,86.43,M,24,163.78,130,480,,129.83,512,6.25,CA,107.20,17.10,72.23,68.47,USA,Berkeley,153.50
32.58,"Holt, Jason",74,83.40,M,27,149.70,131,80,,121.32,92,5.72,UT,101.83,16.17,69.85,66.18,USA,Kaysville,140.85
32.58,"Bartlett, Peter J Jr.",48,83.28,M,27,146.98,132,52,,120.05,63,5.62,NY,101.30,16.15,69.65,65.90,USA,New York,138.83
32.60,"Ashe, Eric",28,81.40,M,25,141.68,133,30,,116.32,36,5.42,MA,98.63,16.15,68.60,65.08,USA,Boston,133.85
33.92,"Fermoyle, Kelly",41,84.93,M,28,146.28,134,45,,120.20,56,5.58,MN,102.28,16.92,71.78,68.10,USA,Minneapolis,138.13
33.93,"Bedoya, David",90,85.47,M,37,151.32,135,96,,124.03,112,5.78,MA,104.38,16.92,71.77,68.08,USA,Somerville,143.15
33.27,"Dirscherl, Christian",62,85.73,M,34,148.83,136,67,GER,122.68,79,5.68,CO,104.25,16.40,71.82,68.05,USA,Denver,140.80
33.92,"Schallner, Nils",109,88.27,M,33,152.88,137,116,GER,126.65,135,5.83,MA,107.43,16.92,73.73,69.92,USA,Cambridge,144.85
34.32,"Wallor, Eric J",47,85.75,M,31,146.85,138,51,,121.47,62,5.62,IL,103.32,17.18,72.40,68.60,USA,Palatine,139.18
